Brand,nama barang,kategori,harga,harga_int,user,varian,ukuran,date,review,rating,terbantu
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,A***s,,,July 2025,Sepatunya ok dan pas dengan ukuran.. Nyampenya juga cepat,5,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Z***i,,,July 2025,barang original enak di pakek ngebut sepatunya,5,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,R***i,,,July 2025,Bagus nyaman melebihi ekspektasi saya,5,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,V***u,,,July 2025,Produknya mantapppplll,5,1
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Y***e,,,July 2025,Pengiriman cepat,5,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,D***v,,,July 2025,mantap,4,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Z***n,,,July 2025,Good,5,0
910,nineten haze strike prime,sepatu lari,Rp550.905,550905,Ganda,,,July 2025,mantab,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,K***l,,,May 2025,"Atas rekomendasi dari teman yang demen lari, untuk tipe ini untuk yang easy run / daily run enak nyaman - udah test run juga 10km enak pace siput Bentuk dan ukuran: Moder... ",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Warna: Black, purple, blue. Bentuk dan ukuran: 40/25,3 sepatunya bagus bgt, tapi dari awal datang packingannya sudah robek & kardusnya penyok, sepatunya ternyata aga... ",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,M***y,,,June 2025,"Produk sesuai , bagus , baik , rekomended",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,P***l,,,April 2024,"Produk bagus, hanya paket sudah bonyok.. Mungkin boleh kasi pengaman yang baik atau kardus untuk sepatunya yg agak kokoh.. Mantap 🤝",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***b,,,July 2025,"kualitas bagus , barang yg datang sesuai dengan pesanan. udah gak salah kalau beli di store official",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***8,,,August 2024,"Barang bagus, belum dicoba pakai sih, mantap dapet free socks nya 2",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,y***r,,,April 2024,"Keren sepatunya, sol nya tebal, enak dipake jogging buat aku yang bb nya 100++",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,c***j,,,April 2024,"Bagus, suka sama product nya 🤗🤗🤗",5,1
910,nineten aurorun,sepatu lari,Rp569.905,569905,â***,,,April 2024,"nyaman dipake, apalagi kalo lari nya bareng km🤪",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Bentuk dan ukuran: nice size 41 ngepas si, seharusnya pilih 42 Warna: oke",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,b***w,,,April 2024,"Sepatu mulus mantap👍pelayanan cepat sehari sampai, mas kurirnya baik sopan",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,p***s,,,May 2025,"agak kekecilan sihh, cuma size 38 ga ready:(",4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,mantapp minn sayangnya gadapet bonus kaos kakii,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Keren habis sepatunya, ukuran pas banget",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Sangat memuaskan  Terimakasih free Socks nya,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,i***y,,,April 2024,"Kualitas keren bagus tpi awal pakai ke ada rasa panas"" gitu tpi keren si asli",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,C***p,,,June 2025,Di keranjang kuning bonus kaos kaki ternyata nggak ada,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T****,,,April 2024,"Ok, berat sepatu 0,555 kg",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,May 2025,"Produknya sesuai dengan digambar, ukurannya pas 👍👍👏👏",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,*****,,,April 2024,Bagus tapi sayang lemnya Masih luber2,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,"Bagussss,,, enak dpakenya ringan",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,b***s,,,April 2024,Sepatu nya mantap saya sangat suka Kalau ada rejeki lagi mau beli lagi😁,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,U***y,,,June 2025,"Mantap barangnya bagus ,jangqn ragu gasssss",5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,August 2024,Padahal saya pesannya di jauh jauh hari tetapi Untuk AURORUNNYA  yg (ungu pink hitam) tetapi sudh terjual ada baiknya sebelum ngobrol di chet di cek dulu barangnya jadi b... ,1,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,I***m,,,August 2024,Pas di kaki,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Shape and size: Good Wearability: Good Color: Good,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,ð****,,,May 2025,Baguss barang nyaa debes lahh,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***d,,,April 2024,Shape and size: Best Color: Good,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,J***e,,,July 2025,Bagus sesuai dengan pesanan,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,ntaps,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,h***o,,,April 2025,bagus enak dipakai,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,I***j,,,June 2025,mantap pass,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,aqsya,,,July 2025,Keras sepatunya harus upsize1,3,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,I***q,,,July 2025,cakepp,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,A***w,,,June 2025,Good🔥,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,p***o,,,February 2025,mantap bro,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Joss mantab sudah pengiriman cepat,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Mantab,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,Bagus sepatunya.. semoga awet,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,D***a,,,April 2024,Sangat bagus,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,G***n,,,August 2024,bagus bangett,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,A***w,,,July 2025,kaos kakiny gk ada kk,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,e***8,,,April 2024,Sangt memuaskan,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,J***k,,,June 2025,Bagus,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,U***t,,,June 2025,bagus,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,p***a,,,April 2024,bagus,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,A***e,,,April 2024,Bagus,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,June 2025,love,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,X***g,,,June 2025,Mantap,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,a***_,,,May 2025,Mantap,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,D***a,,,August 2024,Bagus....,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,B***o,,,May 2025,Recomended good luar biasa,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,April 2024,bgs,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,F***l,,,April 2024,Keren bngt,4,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,T***S,,,July 2024,Ok,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,W***l,,,April 2024,Sip,5,0
910,nineten aurorun,sepatu lari,Rp569.905,569905,O***l,,,June 2025,jos,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,T***m,,,July 2025,Mantap pas di kaki. Untuk pemula kaya saya lari 5KM sangat nyaman.,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,I***o,,,July 2025,Cuma lemnya aja gak rapi blepotan. Secara keseluruhan bagus,4,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,a***i,,,July 2025,"mantap, thank you..",5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,J***l,,,July 2025,Kerennnnnn,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,S***o,,,July 2025,"over all sepatunya enak buat daily run, baru dateng langsung coba pake di 5k pace 6, kaki ga kerasa panas, empuk, cocok buat pemula.  saran aja buat sepatu lokal apalagi... ",4,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,P***t,,,July 2025,produk mantap mulus cuma pengiriman lama jasa kirimnya jelek. masa paket dibawa kerumah kurir padahal udah deket,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,E***z,,,July 2025,Lem lem nya parah bgt nampak kali. Klihatan kotornya. Ga rapi pengelemannya.. bagusan ortus ga kliatan sama sekali,2,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,I***b,,,July 2025,Bagus🔥,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,P***v,,,July 2025,Bagus,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,V***d,,,July 2025,mantappp joss gandos sepatu nya 🥰🤘🏽,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,S***g,,,July 2025,Bagus,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,L***a,,,July 2025,Bagus,4,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,H***w,,,June 2025,Bagus,5,0
910,nineten aurorun stride,sepatu lari,Rp693.405,693405,D***o,,,June 2025,Mantap,5,0
910,nineten chiru aterun,sepatu lari,Rp522.405,522405,f***7,,,August 2024,"Sesuai dengan deskripsi, ada beberapa detail yg kurang rapi seperti lem dan catnya",5,0
910,nineten chiru aterun,sepatu lari,Rp522.405,522405,Amalina,,,September 2024,ringan pas pengiriman cepat sesuai,5,1
910,nineten chiru aterun,sepatu lari,Rp522.405,522405,T***S,,,August 2024,Keren,4,0
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,k***i,,,January 2025,"Produk sesuai gambar, sampai tujuan lebih cepat Dari perkiraan",5,0
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,M***d,,,July 2025,mantaap..... kereeennn... paaaasssss..... okeeee....,5,0
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,M***d,,,February 2025,enak dan nyaman dipakai,5,1
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,r***i,,,March 2025,nyaman di pake,5,1
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,p***u,,,December 2024,Sepatunya bagus,5,0
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,R***p,,,January 2025,Bagus,4,0
910,nineten chiru futurism,sepatu lari,Rp427.405,427405,T***S,,,February 2025,Ukuran pas semoga awet,5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,T***S,,,April 2024,Cocok bagus sekali ukuran pas pilih size 41 ringan sepatunya segera di coba untuk running,5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,Afriski,,,April 2024,sangat nyaman dan ringan tapi ukuran perlu diperhatikan. kalau biasa 36 di brand lain mungkin perlu naik ke 37 atau bahkan 38.,5,1
910,nineten easy train,sepatu lari,Rp408.405,408405,H***i,,,April 2024,Mantap sepatux tapi ukuran 40 ga muat sama saya ukuran 40 kecil,5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,T***S,,,April 2024,"Produk bagus, sepatu ringan, jg dapat bonus kaos kaki Semoga amanah selalu ✨ Memang harus up size, sblm beli lihat ulasan dan ada yang blg up size biasa pake ukuran 23.5... ",5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,R****,,,April 2024,"Sepatunya good dan sangat ringan saat di pakai, sepatunya harus up size dari ukuran normal kita pakai biasanya Bentuk dan ukuran: Easy Train 41 Warna: lilac",4,0
910,nineten easy train,sepatu lari,Rp408.405,408405,M,,,April 2024,Produk original 💯 Nyaman dipakai lari 👍 Produk sesuai Ekspektasi Kualitas bahan tinggi 👍,5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,L****,,,April 2024,"Sepatunya bagus banget, ringan, empuk. Emang agak susah pas masuknya, bagian punggung kaki. Udah upsize ke no 41, dan ngepas banget. Kalo mau pakai kaos kaki sebaiknya yg... ",5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,Faris,,,April 2024,"entah modelnya memang begini atau ada defect di sepatunya, kanan kiri begitu",4,0
910,nineten easy train,sepatu lari,Rp408.405,408405,rajie,,,April 2024,"Walaupun sdh baca review dan beli 1 size diatas size normal, masih aja kekecilan, tapi masih bisa dipakai dengan cara melonggarkan talinya, itupun panjangnya pas2an bgt.... ",4,0
910,nineten easy train,sepatu lari,Rp408.405,408405,A***m,,,April 2024,"Pas ngepres .. tyt ukurannya lebih kecil. Sol nya sih pas, tp mau pakenya sdikit perjuangan Krn punggung kakinya pas bingit. Produk bagus recomended",5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,T***S,,,April 2024,"Sepatu nyaman, pelayanan bintang 5 pokoknya🫰🫰🫰admin fastresp Saran utk kaki tebal ambil size diatas biasanya😄",5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,T***S,,,April 2024,"baguss bgttt, enteng, free kaos kaki jg, blm dicoba buat lari si. ukuran kaki aku 23,5cm (uk.normal) saran klo mau ngambil model ini lebihin 2 nomor, karna aku biasa pake... ",5,0
910,nineten easy train,sepatu lari,Rp408.405,408405,Cintia,,,April 2024,"suka bgt ma sepatunya. cuma buat yg pada mau beli lebih baik di upsize. aku biasanya 36, beli yg 37 itu ngepaaas bgt. tapi msh nyaman. tapi buat yg kebiasa agak longgar b... ",5,1
910,nineten easy train,sepatu lari,Rp408.405,408405,T***S,,,April 2024,"Produknya bagus sepatunya ringan, hanya sedikit kesempitan di kaki aku",4,0
