nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,I***u,Hitam Ungu G - 38,bintang 4,bagusss bgt tpi lama nyampe nya,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,7 bulan lalu,M***a,Navy Ijo - 39,bintang 5,"Produk bagus, pengiriman nya cepat",0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,4 bulan lalu,J***i,Navy Ijo - 42,bintang 1,"Hampir 8 hari baru sampe . Pake exspedisi yg kurang laku jadi muter"" dulu riwehh",0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,T***S,Abu Oren - 39,bintang 5,Shape and size: Good Color: Good,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,2 bulan lalu,O***h,Navy Ijo - 40,bintang 5,Nyaman dipake,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,8 bulan lalu,n***b,Abu Oren - 39,bintang 3,Agak bau cat,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,8 bulan lalu,N***a,Navy Ijo - 42,bintang 4,Saya pesan yang navy hijau kenapa yang datang warna hitam??,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,11 bulan lalu,ð***,Abu Oren - 41,bintang 5,bagus ukuran juga pass,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,Z***j,Putih Biru M - 42,bintang 5,Sepatu keren sesuai ukuran makasi,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,J***s,Navy Ijo - 40,bintang 4,mantapp eyy kotak nya aja sihh dah hancur,0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,S***d,Putih Biru M - 43,bintang 5,"bagus, sesuai",0 orang terbantu
"Nuevo Crospeed Navy/Stabilo Sepatu Running Olahraga Lari Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,P***x,Navy Ijo - 42,bintang 4,Lumayan,0 orang terbantu
